playerID,yearID,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
altuvjo01,2017,vs RHP,149,,507,451,89,155,31,4,17,66,29,3,44,64,.344,.408,.543,.952,245,12,8,0,4,1,4,.369,99,153
altuvjo01,2017,vs LHP,61,,155,139,23,49,8,0,7,15,3,3,14,20,.353,.416,.561,.977,78,7,1,1,0,2,0,.375,104,162
altuvjo01,2017,vs RHP as RHB,149,,507,451,,155,31,4,17,66,0,0,44,64,.344,.408,.543,.952,245,12,8,0,4,1,4,.369,99,160
altuvjo01,2017,vs LHP as RHB,61,,155,139,,49,8,0,7,15,0,0,14,20,.353,.416,.561,.977,78,7,1,1,0,2,0,.375,104,154
altuvjo01,2017,vs RH Starter,109,107,462,413,80,144,29,4,17,59,19,3,37,57,.349,.409,.562,.971,232,10,8,0,4,3,4,.370,103,158
altuvjo01,2017,vs LH Starter,44,44,200,177,32,60,10,0,7,22,13,3,21,27,.339,.412,.514,.926,91,9,1,1,0,0,0,.371,95,149
altuvjo01,2018,vs RHP,135,,437,392,63,129,18,2,11,43,15,4,39,61,.329,.394,.469,.863,184,11,3,3,0,3,2,.369,106,138
altuvjo01,2018,vs LHP,63,,162,142,21,40,11,0,2,18,2,0,16,18,.282,.364,.401,.766,57,6,3,0,1,1,2,.309,83,114
altuvjo01,2018,vs RHP as RHB,135,,437,392,,129,18,2,11,43,0,0,39,61,.329,.394,.469,.863,184,11,3,3,0,3,2,.369,106,144
altuvjo01,2018,vs LHP as RHB,63,,162,142,,40,11,0,2,18,0,0,16,18,.282,.364,.401,.766,57,6,3,0,1,1,2,.309,83,109
altuvjo01,2018,vs RH Starter,87,87,375,337,57,108,20,2,11,41,11,3,33,51,.320,.386,.490,.876,165,10,3,2,0,3,2,.353,109,141
altuvjo01,2018,vs LH Starter,50,49,224,197,27,61,9,0,2,20,6,1,22,28,.310,.386,.386,.771,76,7,3,1,1,1,2,.351,86,117
altuvjo01,2019,vs RHP,118,,405,370,62,106,17,2,20,52,4,4,32,66,.286,.343,.505,.849,187,14,1,0,2,0,2,.301,89,124
altuvjo01,2019,vs LHP,56,,143,130,27,43,10,1,11,22,2,1,9,16,.331,.380,.677,1.057,88,5,2,1,1,0,1,.308,131,169
altuvjo01,2019,vs RHP as RHB,118,,405,370,,106,17,2,20,52,0,0,32,66,.286,.343,.505,.849,187,14,1,0,2,0,2,.301,89,129
altuvjo01,2019,vs LHP as RHB,56,,143,130,,43,10,1,11,22,0,0,9,16,.331,.380,.677,1.057,88,5,2,1,1,0,1,.308,131,163
altuvjo01,2019,vs RH Starter,86,83,374,338,57,94,15,1,18,44,5,5,32,54,.278,.342,.488,.830,165,14,2,0,2,0,1,.284,86,119
altuvjo01,2019,vs LH Starter,38,38,174,162,32,55,12,2,13,30,1,0,9,28,.340,.376,.679,1.055,110,5,1,1,1,0,2,.344,130,171
alvarpe01,2015,vs RHP,141,,426,375,52,90,17,0,24,68,2,0,45,111,.240,.322,.477,.799,179,6,2,0,4,9,2,.270,103,119
alvarpe01,2015,vs LHP,53,,65,62,8,16,1,0,3,9,0,0,3,20,.258,.292,.419,.712,26,0,0,0,0,0,1,.333,81,97
alvarpe01,2015,vs RHP as LHB,141,,426,375,,90,17,0,24,68,0,0,45,111,.240,.322,.477,.799,179,6,2,0,4,9,2,.270,103,112
